V1,V2,n
cardiovascular disease,treatment intensity,1
cardiovascular disease,triacylglycerol,1
cardiovascular disease,triglycerides,8
cardiovascular disease,type of treatment,1
cardiovascular disease,uric acid,1
cardiovascular disease,urinary acr,1
cardiovascular disease,urinary albumin excretion rate,1
cardiovascular disease,white blood cell count,1
cardiovascular risk factors,albumin,1
cardiovascular risk factors,antihypertensive use,1
cardiovascular risk factors,aspirin therapy,1
cardiovascular risk factors,c-reactive protein,1
cardiovascular risk factors,coronary anatomy,1
cardiovascular risk factors,diabetes,1
cardiovascular risk factors,ecg abnormalities,1
cardiovascular risk factors,lipidlowering therapy,1
cardiovascular risk factors,medication differences,1
cardiovascular risk factors,medications,1
cardiovascular risk factors,metformin,1
cardiovascular risk factors,serum magnesium,1
cerebrovascular disease,ACE inhibitors,1
cerebrovascular disease,ARBs,1
cerebrovascular disease,acute coronary syndrome,1
cerebrovascular disease,age,2
cerebrovascular disease,albumin,2
cerebrovascular disease,andor nitroglycerin,1
cerebrovascular disease,antialdosterone,1
cerebrovascular disease,anticoagulants,1
cerebrovascular disease,antidiabetic medication,1
cerebrovascular disease,antihypertensive use,1
cerebrovascular disease,antiplatelet therapy,1
cerebrovascular disease,aspirin therapy,2
cerebrovascular disease,atrial fibrillation,2
cerebrovascular disease,blockers,1
cerebrovascular disease,bmi,3
cerebrovascular disease,bnp,1
cerebrovascular disease,c-reactive protein,1
cerebrovascular disease,cholesterol,2
cerebrovascular disease,chronic kidney disease,1
cerebrovascular disease,clopidogrel,1
cerebrovascular disease,diabetes duration,1
cerebrovascular disease,diuretic therapy,1
cerebrovascular disease,egfr,1
cerebrovascular disease,ejection fraction 40,1
cerebrovascular disease,gender,1
cerebrovascular disease,hba1c,3
cerebrovascular disease,heart failure,1
cerebrovascular disease,highdensity lipoprotein,1
cerebrovascular disease,hypertension,1
cerebrovascular disease,insulin treatment,1
cerebrovascular disease,lipidlowering therapy,1
cerebrovascular disease,lowdensity lipoprotein,1
cerebrovascular disease,macroalbuminuria,1
cerebrovascular disease,metformin,1
cerebrovascular disease,monocyte chemoattractant protin1 m,1
cerebrovascular disease,myocardial infarction,1
cerebrovascular disease,nitrates,1
cerebrovascular disease,peripheral artery disease,1
cerebrovascular disease,peripheral neuropathy,1
cerebrovascular disease,peripheral vascular disease,1
cerebrovascular disease,sociodemographics,1
cerebrovascular disease,sodium concentration,1
cerebrovascular disease,statins,1
cerebrovascular disease,triacylglycerol,1
charlson index,c-reactive protein,1
charlson index,cardiovascular disease,1
charlson index,diastolic blood pressure,1
charlson index,egfr,1
charlson index,hba1c,1
charlson index,proteinuria,1
charlson index,systolic blood pressure,1
charlson index,total baseline expenditures,1
choleseterol,albumin,1
cholesterol,ACE inhibitors,9
cholesterol,ACEI/ARB,6
cholesterol,ARBs,5
cholesterol,ApoAI,5
cholesterol,RCT,10
cholesterol,acute coronary syndrome,5
cholesterol,age,5
cholesterol,albumin,29
cholesterol,albumin excretion rate,10
cholesterol,albumin to creatinine ratio,4
cholesterol,alcohol use,8
cholesterol,alphaglucosidase inhibitor,2
cholesterol,andor nitroglycerin,2
cholesterol,angina,1
cholesterol,ankle-brachial index (ABI),7
cholesterol,antiaggregating agents,2
cholesterol,antialdosterone,2
cholesterol,anticoagulants,2
cholesterol,antidepressants,1
cholesterol,antidiabetic medication,2
cholesterol,antihyperlipidemic drugs,2
cholesterol,antihypertensive use,28
cholesterol,antiplatelet therapy,12
cholesterol,apo(a) phenotypes,3
cholesterol,apoAI/apoB ratio,5
cholesterol,apoB,5
cholesterol,arteriovenous fistula,1
cholesterol,aspirin therapy,22
cholesterol,atrial fibrillation,6
cholesterol,autonomic dysfunction,6
cholesterol,bapwv,2
cholesterol,beta-blocker,4
cholesterol,blockers,3
cholesterol,blood glucose,14
cholesterol,blood pressure,7
cholesterol,bmi,38
cholesterol,bnp,14
cholesterol,c-reactive protein,25
cholesterol,calcium channel blockers,1
cholesterol,cancer,1
cholesterol,cardiovascular disease,24
cholesterol,carotid artery imt,2
cholesterol,cerebrovascular disease,5
cholesterol,change of esrage endogenous secretory receptor of advanced glycated endproducts,3
cholesterol,charlson index,2
cholesterol,choleseterol,1
cholesterol,chronic kidney disease,5
cholesterol,cimt,7
cholesterol,clopidigrel,2
cholesterol,clopidogrel,2
cholesterol,combined alox12 genotypes,3
cholesterol,complete revascularization,2
cholesterol,complex lesions,1
cholesterol,coronary artery calcium score,4
cholesterol,coronary artery disease,7
cholesterol,coronary heart disease,10
cholesterol,creatinine,35
cholesterol,dcb use,2
cholesterol,depression,1
cholesterol,diabetes,3
cholesterol,diabetes duration,27
cholesterol,diabetes treatment,21
cholesterol,diabetic neuropathy,2
cholesterol,dialysis,2
cholesterol,diastolic blood pressure,20
cholesterol,dipeptidyl peptidase 4 inhibitor at discharge,2
cholesterol,distal polyneuropathy,3
cholesterol,diuretic therapy,5
cholesterol,dpucmgp,2
cholesterol,ecg abnormalities,12
cholesterol,echolucent plaque,2
cholesterol,egfr,39
cholesterol,ejection fraction 40,2
cholesterol,endothelial dysfunction,3
cholesterol,fasting cpeptide,1
cholesterol,fasting plasma glucose,4
cholesterol,fibrates,1
cholesterol,fibrinogen,13
cholesterol,gender,6
cholesterol,glycated hemoglobin,2
cholesterol,glycemic control,7
cholesterol,hba1c,87
cholesterol,heart attack,1
cholesterol,heart failure,5
cholesterol,heart rate,4
cholesterol,height,3
cholesterol,hemoglobin,2
cholesterol,high density lipoprotein level,1
cholesterol,highdensity lipoprotein,2
cholesterol,history of coronary disease,1
cholesterol,homair,5
cholesterol,homocysteine,5
cholesterol,homocysteine at baseline,2
cholesterol,hyperlipidemia,3
cholesterol,hypertension,38
cholesterol,idf metabolic syndrome,5
cholesterol,inflammatory markers,1
cholesterol,insulin (measurment),11
cholesterol,insulin treatment,24
cholesterol,ischemic heart disease,4
cholesterol,left ventricular ejection fraction,6
cholesterol,left ventricular hypertrophy,1
cholesterol,"leisure time physical activity",1
cholesterol,lipidlowering therapy,20
cholesterol,lm treatment,2
cholesterol,log101  acr,2
cholesterol,logaer,1
cholesterol,lowdensity lipoprotein,1
cholesterol,macroalbuminuria,1
cholesterol,macrovascular complications,4
cholesterol,medication use,1
cholesterol,metformin,7
cholesterol,microalbuminuria,5
cholesterol,microvascular disease,5
cholesterol,mild plaque calcifi cation,2
cholesterol,monocyte chemoattractant protin1 m,2
cholesterol,multivessel coronary disease,4
cholesterol,myocardial infarction,8
cholesterol,nephropathy,3
cholesterol,neuropathy,1
cholesterol,nitrates,2
cholesterol,nterminal probrain natriuretic peptide,3
cholesterol,pacemaker implantation,1
cholesterol,pc screen time,1
cholesterol,percent low density plaque,2
cholesterol,peripheral arterial occlusive disease,2
cholesterol,peripheral artery disease,7
cholesterol,peripheral neuropathy,2
cholesterol,peripheral vascular disease,4
cholesterol,phosphate,1
cholesterol,physical activity,7
cholesterol,pioglitazone treatment,2
cholesterol,plaque thickness,2
cholesterol,plaque volume,2
cholesterol,prior coronary artery bypass,3
cholesterol,proteinuria,5
cholesterol,provider quality controls,1
cholesterol,pulse pressure,4
cholesterol,race/ethnicity,6
cholesterol,reactive hyperemia index,1
cholesterol,referring physician,1
cholesterol,renal impairment,1
cholesterol,renal insufficiency,1
cholesterol,renin-angiotensin system inhibitors,5
cholesterol,retinopathy,16
cholesterol,sensory neuropathy,2
cholesterol,sensory neuropathy presentabsent,2
cholesterol,significant proximal lad disease,1
cholesterol,sleep duration,2
cholesterol,smoking,73
cholesterol,sociodemographics,6
cholesterol,socioeconomic variables,4
cholesterol,statins,33
cholesterol,stent,3
cholesterol,stroke,11
cholesterol,sulfonylurea,6
cholesterol,syntax score,2
cholesterol,systolic blood pressure,45
cholesterol,the presence of total occlusion,1
cholesterol,the use of drugs yesno,2
cholesterol,therapy for hypercoagulation,3
cholesterol,thiazolidinediones,1
cholesterol,tot chol,1
cholesterol,triacylglycerol,6
cholesterol,triglycerides,92
cholesterol,troponin,2
cholesterol,tryglycerides,2
cholesterol,tv viewing,1
cholesterol,ultrafiltration volume,1
cholesterol,uric acid,6
cholesterol,urinary,1
cholesterol,urinary acr,4
cholesterol,urinary albumin excretion rate,7
cholesterol,urinary protein log,2
cholesterol,use of blockers,1
cholesterol,waist measurements,10
cholesterol,wasting,1
cholesterol,white blood cell count,1
cholesterol,year fixed effects,1
chronic kidney disease,ACE inhibitors,1
chronic kidney disease,ARBs,2
chronic kidney disease,RCT,1
chronic kidney disease,acute coronary syndrome,1
chronic kidney disease,andor nitroglycerin,1
chronic kidney disease,antialdosterone,1
chronic kidney disease,anticoagulants,1
chronic kidney disease,antidepressants,1
chronic kidney disease,antidiabetic medication,1
chronic kidney disease,antihypertensive use,3
chronic kidney disease,antiplatelet therapy,2
chronic kidney disease,aspirin therapy,1
chronic kidney disease,atrial fibrillation,1
chronic kidney disease,blockers,2
chronic kidney disease,bmi,2
chronic kidney disease,bnp,1
chronic kidney disease,c-reactive protein,1
chronic kidney disease,cardiovascular disease,3
chronic kidney disease,charlson index,1
chronic kidney disease,clopidogrel,1
chronic kidney disease,diabetes duration,1
chronic kidney disease,diabetes treatment,1
chronic kidney disease,diuretic therapy,1
chronic kidney disease,fibrates,1
chronic kidney disease,insulin treatment,3
chronic kidney disease,lipidlowering therapy,1
chronic kidney disease,metformin,1
chronic kidney disease,monocyte chemoattractant protin1 m,1
chronic kidney disease,nitrates,1
chronic kidney disease,proteinuria,1
chronic kidney disease,retinopathy,1
chronic kidney disease,socioeconomic variables,1
chronic kidney disease,statins,3
chronic kidney disease,sulfonylurea,1
chronic kidney disease,thiazolidinediones,1
chronic kidney disease,total baseline expenditures,1
chronic obstructive pulmonary disease,diabetes duration,1
chronic obstructive pulmonary disease,diabetes treatment,1
chronic obstructive pulmonary disease,fasting plasma glucose,1
chronic obstructive pulmonary disease,hba1c,1
chronic renal failure,cholesterol,1
chronic renal failure,diabetes treatment,1
chronic renal failure,statins,1
ci,albumin,1
ci,cholesterol,1
ci,macrovascular complications,1
ci,smoking,1
ci,systolic blood pressure,1
cimt,combined alox12 genotypes,1
cimt,dpucmgp,1
cimt,renin-angiotensin system inhibitors,1
cimt,statins,1
clinic,albumin excretion rate,1
clinic,ankle-brachial index (ABI),1
clinic,blood pressure,1
clinic,bmi,1
clinic,cholesterol,2
clinic,ecg abnormalities,1
clinic,fibrinogen,1
clinic,hba1c,1
clinic,heart rate,1
clinic,microalbuminuria,1
clinic,physical activity,1
clinical risk scores,Computed Tomography Angiography (CTA) variables,1
clinical risk scores,coronary artery calcium score,1
clinical variables,biomarkers,1
clinical variables,cardiovascular risk factors,1
clinical variables,diabetes,1
clinical variables,drug use,1
clinical variables,ecg abnormalities,1
clinical variables,echocardiographic variables,1
clinical variables,imaging risk predictors,1
clinical variables,metformin,1
clinical variables,other complications,1
clinical variables,serum magnesium,1
clinical variables,sociodemographics,1
clinical variables,stress variables,1
clopidigrel,ACEI/ARB,1
clopidigrel,antidiabetic medication,1
clopidigrel,beta-blocker,1
clopidigrel,insulin treatment,1
clopidigrel,statins,1
clopidogrel,ACE inhibitors,1
clopidogrel,ARBs,1
clopidogrel,acute coronary syndrome,1
clopidogrel,andor nitroglycerin,1
clopidogrel,antialdosterone,1
clopidogrel,anticoagulants,1
clopidogrel,antiplatelet therapy,1
clopidogrel,blockers,1
clopidogrel,bnp,1
clopidogrel,diuretic therapy,1
clopidogrel,insulin treatment,1
clopidogrel,monocyte chemoattractant protin1 m,1
clopidogrel,mpv mean platelet volume,1
clopidogrel,nitrates,1
clopidogrel,statins,1
clopidogrel,syntax score,1
clopidogrel,uric acid,1
clustering,age,1
clustering,bmi,1
clustering,diabetes duration,1
clustering,gender,1
clustering,history of coronary disease,1
clustering,smoking,1
comorbidity,baseline medications,1
comorbidity,baseline related risk factor level,1
comorbidity,diabetes duration,1
complete revascularization,alphaglucosidase inhibitor,1
complete revascularization,antiplatelet therapy,2
complete revascularization,dipeptidyl peptidase 4 inhibitor at discharge,1
complete revascularization,glycemic control,1
complete revascularization,insulin (measurment),1
complete revascularization,statins,2
complete revascularization,sulfonylurea,1
complex lesions,diuretic therapy,1
complex lesions,insulin treatment,1
complex lesions,left ventricular ejection fraction,1
coronary artery calcium score,Computed Tomography Angiography (CTA) variables,1
coronary artery calcium score,age,1
coronary artery calcium score,albumin,1
coronary artery calcium score,bnp,2
coronary artery calcium score,carotid intima media thickness,1
coronary artery calcium score,cholesterol,1
coronary artery calcium score,creatinine,1
coronary artery calcium score,inflammatory markers,1
coronary artery calcium score,reactive hyperemia index,1
coronary artery calcium score,tnfalpha,1
coronary artery calcium score,triglycerides,1
coronary artery calcium score,uric acid,1
coronary artery disease,ACE inhibitors,1
coronary artery disease,ACEI/ARB,1
coronary artery disease,Lp(a),1
coronary artery disease,acute coronary syndrome,1
coronary artery disease,age,1
coronary artery disease,albumin,4
coronary artery disease,angina,2
coronary artery disease,ankle-brachial index (ABI),2
coronary artery disease,antidiabetic medication,1
coronary artery disease,apo(a) phenotypes,1
coronary artery disease,arteriovenous fistula,1
coronary artery disease,autonomic dysfunction,2
coronary artery disease,autonomic nervous function,1
coronary artery disease,beta-blocker,2
coronary artery disease,blood glucose,1
coronary artery disease,bmi,5
coronary artery disease,bnp,2
coronary artery disease,c-reactive protein,2
coronary artery disease,cardiovascular disease,2
coronary artery disease,cholesterol,21
coronary artery disease,clopidigrel,1
coronary artery disease,creatinine,2
coronary artery disease,diabetes duration,2
coronary artery disease,diabetes treatment,1
coronary artery disease,dialysis,3
coronary artery disease,dipyridamole stress test,1
coronary artery disease,distal polyneuropathy,1
coronary artery disease,diuretic therapy,1
coronary artery disease,dyslipidaemia,1
coronary artery disease,ecg abnormalities,2
coronary artery disease,egfr,2
coronary artery disease,endothelial dysfunction,1
coronary artery disease,fasting plasma glucose,1
coronary artery disease,gender,1
coronary artery disease,glycemic control,1
coronary artery disease,hba1c,12
coronary artery disease,heart failure,4
coronary artery disease,hemodynamic measures,1
coronary artery disease,hyperlipidemia,2
coronary artery disease,hypertension,3
coronary artery disease,insulin (measurment),1
coronary artery disease,insulin treatment,1
coronary artery disease,ischemia,1
coronary artery disease,left ventricular ejection fraction,2
coronary artery disease,macroalbuminuria,1
coronary artery disease,metformin,1
coronary artery disease,microalbuminuria,4
coronary artery disease,minimum lumen diameter,1
coronary artery disease,multivessel coronary disease,1
coronary artery disease,myocardial infarction,2
coronary artery disease,percutaneous coronary intervention,1
coronary artery disease,peripheral arterial occlusive disease,2
coronary artery disease,peripheral artery disease,2
coronary artery disease,peripheral vascular disease,1
coronary artery disease,phosphate,2
coronary artery disease,pioglitazone treatment,1
coronary artery disease,prior coronary artery bypass,1
coronary artery disease,race/ethnicity,1
coronary artery disease,renal insufficiency,1
coronary artery disease,smoking,9
coronary artery disease,statins,4
coronary artery disease,stent,2
coronary artery disease,stroke,6
coronary artery disease,sulfonylurea,1
coronary artery disease,systolic blood pressure,2
coronary artery disease,triglycerides,6
coronary artery disease,ultrafiltration volume,2
coronary artery disease,vessel size,1
coronary heart disease,ACEI/ARB,1
coronary heart disease,aspirin therapy,1
coronary heart disease,cardiovascular disease,2
coronary heart disease,cholesterol,3
coronary heart disease,creatinine,1
coronary heart disease,diabetes treatment,1
coronary heart disease,fibrinogen,1
coronary heart disease,hba1c,4
coronary heart disease,hypertension,1
coronary heart disease,insulin treatment,1
coronary heart disease,medication use,1
coronary heart disease,neuropathy,1
coronary heart disease,peripheral artery disease,1
coronary heart disease,retinopathy,1
coronary heart disease,smoking,2
coronary heart disease,systolic blood pressure,1
coronary heart disease,uoer,2
coronary heart disease,urinary acr,1
creatinine,ACE inhibitors,1
creatinine,ACEI/ARB,2
creatinine,ARBs,1
creatinine,ApoAI,2
creatinine,CCr,1
creatinine,RCT,2
creatinine,acute coronary syndrome,1
creatinine,age,2
creatinine,albumin,6
creatinine,albumin excretion rate,3
creatinine,angina,1
creatinine,ankle-brachial index (ABI),1
creatinine,antidiabetic medication,1
creatinine,antihyperlipidemic drugs,1
creatinine,antihypertensive use,3
creatinine,antiplatelet therapy,1
creatinine,apoAI/apoB ratio,2
creatinine,apoB,2
creatinine,aspirin therapy,2
creatinine,atrial fibrillation,1
creatinine,beta-blocker,4
creatinine,blood glucose,3
creatinine,blood pressure,1
creatinine,bmi,3
creatinine,bnp,2
creatinine,c-reactive protein,4
creatinine,calcium channel blockers,2
creatinine,cardiovascular disease,1
creatinine,cardiovascular risk factors,1
creatinine,carotid intima media thickness,1
creatinine,change of esrage endogenous secretory receptor of advanced glycated endproducts,1
creatinine,choleseterol,1
creatinine,cholesterol,27
creatinine,chronic obstructive pulmonary disease,1
creatinine,clopidigrel,1
creatinine,coronary artery calcium score,2
creatinine,coronary artery disease,2
creatinine,coronary heart disease,2
creatinine,diabetes,1
creatinine,diabetes duration,5
creatinine,diabetes treatment,6
creatinine,diastolic blood pressure,1
creatinine,diuretic therapy,1
creatinine,ecg abnormalities,3
creatinine,egfr,1
creatinine,fasting plasma glucose,1
creatinine,fibrinogen,2
creatinine,folate,1
creatinine,glycemic control,1
creatinine,hba1c,10
creatinine,hemoglobin,1
creatinine,homair,2
creatinine,homocysteine,3
creatinine,homocysteine at baseline,1
creatinine,hyperlipidemia,3
creatinine,hypertension,3
creatinine,idf metabolic syndrome,2
creatinine,incretins,1
creatinine,inflammatory markers,1
creatinine,insulin (measurment),3
creatinine,insulin treatment,3
creatinine,left ventricular ejection fraction,1
creatinine,lipidlowering therapy,1
creatinine,macroalbuminuria,1
creatinine,macroangiopathy,1
creatinine,metformin,2
creatinine,microalbuminuria,2
creatinine,microvascular disease,1
creatinine,myocardial infarction,1
creatinine,neuropathy,1
creatinine,nterminal probrain natriuretic peptide,1
creatinine,pacemaker implantation,1
creatinine,peripheral arterial occlusive disease,1
creatinine,peripheral artery disease,2
creatinine,pioglitazone treatment,1
creatinine,prior coronary artery bypass,1
creatinine,provider quality controls,1
creatinine,pulse pressure,1
creatinine,race/ethnicity,1
creatinine,secretagogues,1
creatinine,significant proximal lad disease,1
creatinine,smoking,4
creatinine,sociodemographics,1
creatinine,socioeconomic variables,1
creatinine,statins,2
creatinine,stroke,1
creatinine,sulfonylurea,2
creatinine,systolic blood pressure,7
creatinine,the presence of total occlusion,1
creatinine,therapy for hypercoagulation,1
creatinine,tnfalpha,1
creatinine,triglycerides,10
creatinine,uoer,1
creatinine,uric acid,2
creatinine,urinary albumin excretion rate,5
creatinine,vitamin b12,1
creatinine,year fixed effects,1
current multifactorial care,myocardial infarction,1
current multifactorial care,peripheral artery disease,1
dcb use,alphaglucosidase inhibitor,1
dcb use,antiplatelet therapy,2
dcb use,complete revascularization,1
dcb use,dipeptidyl peptidase 4 inhibitor at discharge,1
dcb use,glycemic control,1
dcb use,insulin (measurment),1
dcb use,statins,2
dcb use,sulfonylurea,1
dcsi,hyperlipidemia,1
depression,ARBs,1
depression,antidepressants,1
depression,antihypertensive use,1
depression,blockers,1
depression,chronic kidney disease,1
depression,fibrates,1
depression,insulin treatment,1
depression,metformin,1
depression,statins,1
depression,sulfonylurea,1
depression,thiazolidinediones,1
diabetes,RCT,1
diabetes,Serum 25-hydroxyvitamin D,1
diabetes,antiplatelet therapy,1
diabetes,blood pressure,1
diabetes,bmi,4
diabetes,c-reactive protein,1
diabetes,cancer,1
diabetes,cardiovascular disease,3
diabetes,cardiovascular risk factors,1
diabetes,change of esrage endogenous secretory receptor of advanced glycated endproducts,1
diabetes,cholesterol,7
diabetes,chronic kidney disease,1
diabetes,coronary anatomy,1
diabetes,coronary artery disease,1
diabetes,creatinine,2
diabetes,diabetes duration,3
diabetes,disease duration,1
diabetes,duration,1
diabetes,ecg abnormalities,1
diabetes,egfr,3
diabetes,fpi,1
diabetes,glycemic control,1
diabetes,hba1c,4
diabetes,heart failure,1
diabetes,hemodynamic measures,1
diabetes,hyperlipidemia,1
diabetes,hypertension,2
diabetes,insulin treatment,1
diabetes,lipid profile,1
diabetes,medical diabetic treatment,1
diabetes,metformin,1
diabetes,minimum lumen diameter,1
diabetes,other complications,1
diabetes,serum magnesium,1
diabetes,smoking,4
diabetes,sociodemographics,1
diabetes,statins,1
diabetes,stent,1
diabetes,systolic blood pressure,4
diabetes,triglycerides,2
diabetes,urinary protein log,1
diabetes,vessel size,1
diabetes duration,ACE inhibitors,4
diabetes duration,ACEI/ARB,2
diabetes duration,ARBs,3
diabetes duration,ApoAI,1
diabetes duration,CCr,1
diabetes duration,RCT,6
diabetes duration,acr,2
diabetes duration,acute coronary syndrome,1
diabetes duration,age,4
diabetes duration,albumin,16
diabetes duration,albumin excretion rate,6
diabetes duration,albumin to creatinine ratio,5
diabetes duration,alcohol use,8
diabetes duration,alphaglucosidase inhibitor,1
diabetes duration,ankle-brachial index (ABI),3
diabetes duration,antidepressants,1
diabetes duration,antidiabetic medication,1
diabetes duration,antihyperlipidemic drugs,1
diabetes duration,antihypertensive use,16
diabetes duration,antiplatelet therapy,9
diabetes duration,apoAI/apoB ratio,2
diabetes duration,apoB,1
diabetes duration,aspirin therapy,11
diabetes duration,atrial fibrillation,3
diabetes duration,autonomic dysfunction,2
diabetes duration,baseline claudication,1
diabetes duration,beta-blocker,1
diabetes duration,biomarkers (general),1
diabetes duration,blockers,1
diabetes duration,blood glucose,8
diabetes duration,blood pressure,13
diabetes duration,bmi,53
diabetes duration,bnp,2
diabetes duration,c-reactive protein,5
diabetes duration,calcium channel blockers,1
diabetes duration,cancer,1
diabetes duration,cardiac autonomic neuropathy (CAN),2
diabetes duration,cardiovascular disease,22
diabetes duration,carotid plaque,1
diabetes duration,cerebrovascular disease,2
diabetes duration,cholesterol,126
diabetes duration,chronic kidney disease,2
diabetes duration,cimt,1
diabetes duration,clinic,1
diabetes duration,combined alox12 genotypes,1
diabetes duration,complete revascularization,1
diabetes duration,coronary artery calcium score,1
diabetes duration,coronary artery disease,5
diabetes duration,coronary heart disease,4
diabetes duration,creatinine,18
diabetes duration,dcb use,1
diabetes duration,depression,1
diabetes duration,diabetes,4
diabetes duration,diabetes treatment,8
diabetes duration,diabetic neuropathy,1
diabetes duration,diastolic blood pressure,17
diabetes duration,dipeptidyl peptidase 4 inhibitor at discharge,1
diabetes duration,distal polyneuropathy,1
diabetes duration,diuretic therapy,1
diabetes duration,ecg abnormalities,10
diabetes duration,egfr,36
diabetes duration,endothelial dysfunction,1
diabetes duration,expected costs,1
diabetes duration,fasting cpeptide,2
diabetes duration,fasting plasma glucose,4
diabetes duration,fibrates,2
diabetes duration,fibrinogen,4
diabetes duration,gender,8
diabetes duration,gliclazide,1
diabetes duration,glycemic control,6
diabetes duration,hba1c,85
diabetes duration,heart failure,7
diabetes duration,heart rate,5
diabetes duration,heart valve calcium,1
diabetes duration,height,3
diabetes duration,highdensity lipoprotein,2
diabetes duration,history of copd,1
diabetes duration,history of coronary disease,3
diabetes duration,homair,3
diabetes duration,homocysteine,2
diabetes duration,homocysteine at baseline,1
diabetes duration,hyperlipidemia,6
diabetes duration,hypertension,34
diabetes duration,hypoglycaemic treatment,1
diabetes duration,idf metabolic syndrome,1
diabetes duration,indigenous australian,1
diabetes duration,insulin (measurment),4
diabetes duration,insulin treatment,11
diabetes duration,ischemic heart disease,1
diabetes duration,left atrial diameter,1
diabetes duration,left ventricular ejection fraction,2
diabetes duration,lipid profile,1
diabetes duration,lipidlowering therapy,11
diabetes duration,lm treatment,1
diabetes duration,log101  acr,1
diabetes duration,logaer,1
diabetes duration,lowdensity lipoprotein,1
diabetes duration,macroalbuminuria,2
diabetes duration,macrovascular complications,9
diabetes duration,marital status,1
diabetes duration,mca stenosis,1
diabetes duration,metformin,3
diabetes duration,microalbuminuria,7
diabetes duration,microvascular disease,11
diabetes duration,mild plaque calcifi cation,1
diabetes duration,myocardial infarction,9
diabetes duration,nephropathy,2
diabetes duration,neuropathy,3
diabetes duration,nterminal probrain natriuretic peptide,1
diabetes duration,pIMT,1
diabetes duration,pc screen time,1
diabetes duration,percent low density plaque,1
diabetes duration,percutaneous coronary intervention,1
diabetes duration,peripheral arterial occlusive disease,1
diabetes duration,peripheral artery disease,6
diabetes duration,peripheral neuropathy,1
diabetes duration,peripheral vascular disease,2
diabetes duration,physical activity,7
diabetes duration,physical inactivity,4
diabetes duration,pioglitazone treatment,1
diabetes duration,plaque volume,1
diabetes duration,prior coronary artery bypass,1
diabetes duration,pro btype natriuretic peptide quartiles,1
diabetes duration,proteinuria,3
diabetes duration,pulse pressure,2
diabetes duration,race/ethnicity,4
diabetes duration,ratio between total,1
diabetes duration,renal impairment,1
diabetes duration,renin-angiotensin system inhibitors,2
diabetes duration,retinopathy,12
diabetes duration,rosiglitazone during followup,1
diabetes duration,sensory neuropathy,1
diabetes duration,sensory neuropathy presentabsent,1
diabetes duration,significant proximal lad disease,1
diabetes duration,sleep duration,1
diabetes duration,smoking,73
diabetes duration,sociodemographics,5
diabetes duration,socioeconomic variables,7
diabetes duration,statins,22
diabetes duration,stroke,6
diabetes duration,study treatment,1
diabetes duration,sulfonylurea,4
diabetes duration,syntax score,1
diabetes duration,systolic blood pressure,54
diabetes duration,the presence of total occlusion,1
diabetes duration,the ukpds risk score,1
diabetes duration,the use of drugs yesno,1
diabetes duration,therapy for hypercoagulation,1
diabetes duration,thiazolidinediones,1
diabetes duration,"to tal",1
diabetes duration,total energy kcalday,1
diabetes duration,treatment intensity,1
diabetes duration,triacylglycerol,4
diabetes duration,triglycerides,38
diabetes duration,troponin,2
diabetes duration,tv viewing,1
diabetes duration,type of treatment,1
diabetes duration,uric acid,2
diabetes duration,urinary acr,6
diabetes duration,urinary albumin excretion rate,4
diabetes duration,use of blockers,1
diabetes duration,use of sulfonamides,1
diabetes duration,waist measurements,6
diabetes duration,weight,2
diabetes duration,white blood cell count,1
diabetes duration,years of enrolment,1
diabetes treatment,ACEI/ARB,2
diabetes treatment,adherence to medication,1
diabetes treatment,albumin,5
diabetes treatment,angina,1
diabetes treatment,antidiabetic medication,1
diabetes treatment,antihyperlipidemic drugs,1
diabetes treatment,antihypertensive use,5
diabetes treatment,aspirin therapy,2
diabetes treatment,beta-blocker,1
diabetes treatment,blood glucose,3
diabetes treatment,bmi,2
diabetes treatment,c-reactive protein,3
diabetes treatment,cholesterol,12
diabetes treatment,chronic kidney disease,3
diabetes treatment,cimt,2
diabetes treatment,clopidigrel,1
diabetes treatment,coronary artery disease,4
diabetes treatment,creatinine,4
diabetes treatment,dcsi,1
diabetes treatment,diastolic blood pressure,1
diabetes treatment,dpucmgp,1
diabetes treatment,ecg abnormalities,3
diabetes treatment,egfr,1
diabetes treatment,fasting plasma glucose,1
diabetes treatment,hba1c,6
diabetes treatment,heart failure,1
diabetes treatment,hyperlipidemia,6
diabetes treatment,hypertension,4
diabetes treatment,insulin treatment,1
diabetes treatment,left ventricular ejection fraction,1
diabetes treatment,lipidlowering therapy,3
diabetes treatment,macrovascular complications,1
diabetes treatment,microalbuminuria,1
diabetes treatment,microvascular disease,1
diabetes treatment,myocardial infarction,2
diabetes treatment,percutaneous coronary intervention,1
diabetes treatment,peripheral artery disease,1
diabetes treatment,prior coronary artery bypass,1
diabetes treatment,progressive arterial stiffness defined as a bapwv of 1730 or greater,1
diabetes treatment,renin-angiotensin system inhibitors,1
diabetes treatment,smoking,2
diabetes treatment,statins,4
diabetes treatment,stent,1
diabetes treatment,stroke,2
diabetes treatment,systolic blood pressure,3
diabetes treatment,therapy for hypercoagulation,1
diabetes treatment,triglycerides,3
diabetic neuropathy,creatinine,1
diabetic neuropathy,hba1c,1
diabetic neuropathy,insulin treatment,1
diabetic neuropathy,macroalbuminuria,1
diabetic neuropathy,microalbuminuria,1
dialysis,albumin,2
dialysis,arteriovenous fistula,2
dialysis,bnp,2
dialysis,c-reactive protein,2
dialysis,cholesterol,4
